iteration,seed,dropout,rnn_dropout,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,float,float,float,float,float
15,3430172015,0.05,0.025,1.188160074,1.102400506,49.041094
16,3430172015,0.075,0.025,1.290178156,1.199285853,43.816789
17,3430172015,0.1,0.025,1.283791459,1.148603582,44.988406
18,3430172015,0.125,0.025,1.271846867,1.15423398,50.683561
19,3430172015,0.15,0.025,1.215288162,1.127838194,50.069761
20,3430172015,0.175,0.025,1.342641652,1.187029672,44.919432
21,3430172015,0.2,0.025,1.311426258,1.192786515,51.43232
22,3430172015,0.225,0.025,1.329579616,1.246740484,46.913786
23,3430172015,0.25,0.025,1.41509161,1.303315985,46.944785
24,3430172015,0.275,0.025,1.418315661,1.301711488,46.866798
25,3430172015,0.3,0.025,1.465521204,1.213526523,44.93342
26,3430172015,0,0.05,12.93584347,12.93584347,30.085249
27,3430172015,0.025,0.05,1.205156684,1.105490255,50.912488
28,3430172015,0.05,0.05,1.166548884,1.071357501,48.605236
29,3430172015,0.075,0.05,1.286273229,1.163205111,44.955419
30,3430172015,0.1,0.05,1.290182996,1.204947305,46.013096
31,3430172015,0.125,0.05,1.358810639,1.240128934,42.846124
32,3430172015,0.15,0.05,1.325809669,1.18796525,44.4006
33,3430172015,0.175,0.05,1.285797715,1.188012981,48.176375
34,3430172015,0.2,0.05,1.273555267,1.132137692,50.680562
35,3430172015,0.225,0.05,1.378312016,1.22445128,43.500891
36,3430172015,0.25,0.05,1.420846641,1.296020484,48.326332
37,3430172015,0.275,0.05,1.372349668,1.221614408,47.883504
38,3430172015,0.3,0.05,1.512480521,1.325772536,43.772802
39,3430172015,0,0.075,12.93584347,12.93584347,30.094262
40,3430172015,0.025,0.075,1.190302682,1.109878695,46.012077
41,3430172015,0.05,0.075,1.18699615,1.088092363,45.515239
42,3430172015,0.075,0.075,1.26642803,1.167518663,45.173351
43,3430172015,0.1,0.075,1.279725373,1.163707864,46.39995
44,3430172015,0.125,0.075,1.304322529,1.220408964,51.341349
45,3430172015,0.15,0.075,1.291231012,1.174829841,50.312682
46,3430172015,0.175,0.075,1.327566242,1.190500128,42.02037
47,3430172015,0.2,0.075,1.32532804,1.216962159,49.500954
48,3430172015,0.225,0.075,1.364757836,1.255358648,45.007432
49,3430172015,0.25,0.075,1.38326807,1.212484646,43.13201
50,3430172015,0.275,0.075,1.470254207,1.319786346,43.638847
51,3430172015,0.3,0.075,1.44063971,1.23572216,43.339945
52,3430172015,0,0.1,12.93584347,12.93584347,30.038259
53,3430172015,0.025,0.1,1.229073954,1.128818536,51.121421
54,3430172015,0.05,0.1,1.232400012,1.125669956,46.206014
55,3430172015,0.075,0.1,1.259591746,1.173537433,47.66756
56,3430172015,0.1,0.1,1.277499557,1.17788471,47.652552
57,3430172015,0.125,0.1,1.303461885,1.19885782,45.988085
58,3430172015,0.15,0.1,1.302619958,1.132827759,44.863471
59,3430172015,0.175,0.1,1.259008431,1.135764122,50.129739
60,3430172015,0.2,0.1,1.301906097,1.166013527,48.496278
61,3430172015,0.225,0.1,1.324697518,1.18214668,50.129741
62,3430172015,0.25,0.1,1.41091876,1.249321902,51.866193
63,3430172015,0.275,0.1,1.417426693,1.291445005,41.128663
64,3430172015,0.3,0.1,1.469244576,1.252231359,44.206663
65,3430172015,0,0.125,12.93584347,12.93584347,30.098276
66,3430172015,0.025,0.125,1.278321433,1.207535434,42.855101
67,3430172015,0.05,0.125,1.156119454,1.075892639,52.301035
68,3430172015,0.075,0.125,1.291283655,1.187767255,48.677227
69,3430172015,0.1,0.125,1.231444514,1.158463287,53.487652
70,3430172015,0.125,0.125,1.348403513,1.224620605,47.241681
71,3430172015,0.15,0.125,1.349203992,1.229740012,46.35799
72,3430172015,0.175,0.125,1.306745815,1.212831151,44.227654
73,3430172015,0.2,0.125,1.289748204,1.143069756,49.952796
74,3430172015,0.225,0.125,1.298771071,1.177592921,47.632551
75,3430172015,0.25,0.125,1.431332362,1.304716885,46.545904
76,3430172015,0.275,0.125,1.407090938,1.243956983,44.143714
77,3430172015,0.3,0.125,1.497810578,1.204085326,47.782527
78,3430172015,0,0.15,10.65044637,10.64961141,47.781517
79,3430172015,0.025,0.15,1.198428524,1.088609326,54.297389
80,3430172015,0.05,0.15,1.209399593,1.104924345,46.850804
81,3430172015,0.075,0.15,1.231708157,1.125187016,48.138387
82,3430172015,0.1,0.15,1.324149799,1.236240304,44.327621
83,3430172015,0.125,0.15,1.237645566,1.136294007,51.4903
84,3430172015,0.15,0.15,1.250225568,1.134158671,53.6386
85,3430172015,0.175,0.15,1.344270539,1.20637629,42.94607
86,3430172015,0.2,0.15,1.421600699,1.250489807,42.112342
87,3430172015,0.225,0.15,1.340134251,1.246276832,46.362963
88,3430172015,0.25,0.15,1.540082955,1.396611178,48.131389
89,3430172015,0.275,0.15,1.417069149,1.213720536,48.711202
90,3430172015,0.3,0.15,1.474732029,1.312730813,43.340942
91,3430172015,0,0.175,10.62078917,10.59170939,35.344555
92,3430172015,0.025,0.175,1.179199553,1.106071746,50.520614
93,3430172015,0.05,0.175,1.237478018,1.126152205,47.107722
94,3430172015,0.075,0.175,1.204396772,1.09637953,53.92851
95,3430172015,0.1,0.175,1.281594241,1.180439711,45.470252
96,3430172015,0.125,0.175,1.313491046,1.207280624,50.008781
97,3430172015,0.15,0.175,1.303597569,1.225317752,47.779503
98,3430172015,0.175,0.175,1.32614001,1.208644319,44.189667
99,3430172015,0.2,0.175,1.346444893,1.220518744,47.106767
100,3430172015,0.225,0.175,1.36342032,1.247203898,45.41527
