iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
1,3207062459,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.258859634,1.127264762,42.320295
0,1932562925,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.25386765,1.144900239,47.567593
1,1932562925,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.285427999,1.161233032,41.728487
0,4198771699,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.209819889,1.090557361,48.78527
1,4198771699,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.265783107,1.120298648,46.164046
0,2962413154,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.254222393,1.140812111,45.072407
1,2962413154,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.286752152,1.170036411,40.452902
0,919360168,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.25473851,1.112280881,45.896134
1,919360168,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.222892129,1.113335431,46.474964
0,2062462092,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.156102169,1.093622005,54.995212
1,2062462092,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.238556027,1.11457777,44.114719
0,2772204838,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.182215905,1.093723059,48.526441
1,2772204838,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.255845273,1.122716272,44.429611
0,4154792905,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.2216712,1.088085842,47.666598
1,4154792905,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.280130208,1.14992733,40.083852
0,756449110,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.27094903,1.125355709,44.568566
1,756449110,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.231636214,1.113216746,43.214003
0,3379679915,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.297154176,1.185700965,47.466732
1,3379679915,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.27414614,1.14884795,42.162345
0,2660849692,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.270909035,1.153708136,44.079739
1,2660849692,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.223925841,1.142338192,47.678593
0,3855198486,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.353887701,1.237899828,45.014473
1,3855198486,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.255225933,1.122495234,42.043385
0,65070450,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.252616382,1.106828201,47.424641
1,65070450,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.243836081,1.133352661,46.189052
0,2047056572,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.201973438,1.103955615,54.475377
1,2047056572,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.246950281,1.148398817,43.607876
0,1987226539,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.271718609,1.174864423,50.781555
1,1987226539,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.256548488,1.139606798,43.475237
0,1655854134,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.338213694,1.245359409,44.549056
1,1655854134,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.244856942,1.097764647,46.647896
0,2619901109,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.324712944,1.20177387,43.204048
1,2619901109,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.251265883,1.163655233,43.557894
0,2997753995,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.264371824,1.163390982,43.318974
1,2997753995,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.150039828,1.054922199,52.424019
0,3449436855,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.271419287,1.14378854,46.426964
1,3449436855,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.228275633,1.122069383,42.643197
0,1849462616,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.277941012,1.163534093,46.33999
1,1849462616,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.192886043,1.090182495,47.976463
