iteration,seed,activation,rnn_activation,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,str,str,float,float,float
1,1940767665,relu,relu,1.292646933,1.183815038,49.069999
0,1567441857,relu,tanh,1.222758234,1.122180033,50.160615
1,1567441857,relu,relu,1.354464221,1.231828856,46.038765
0,3388355089,relu,tanh,1.317876816,1.204604673,46.731878
1,3388355089,relu,relu,1.319661236,1.207343233,47.012307
0,1692025309,relu,tanh,1.237344491,1.13869189,50.32256
1,1692025309,relu,relu,1.266809297,1.148614836,46.410267
0,2357829266,relu,tanh,1.236547589,1.123866773,49.248539
1,2357829266,relu,relu,1.288289869,1.179276192,50.425572
0,3653442774,relu,tanh,1.25066756,1.106838763,47.78681
1,3653442774,relu,relu,1.319424951,1.169342446,45.652128
0,3997097992,relu,tanh,1.208206153,1.118007421,49.376186
1,3997097992,relu,relu,1.302193451,1.191611421,47.303454
0,4217252967,relu,tanh,1.28461405,1.204384565,48.05231
1,4217252967,relu,relu,1.272793806,1.143725717,48.425578
0,3377645619,relu,tanh,1.276517069,1.183589721,47.726797
1,3377645619,relu,relu,1.396986973,1.271931052,55.157087
0,1697237458,relu,tanh,1.296027696,1.134201443,45.956166
1,1697237458,relu,relu,1.32108736,1.179394174,46.244111
0,1731800454,relu,tanh,1.234627569,1.123787582,48.230539
1,1731800454,relu,relu,1.374332881,1.252059197,46.789502
0,2737556734,relu,tanh,1.22227217,1.092657101,46.745201
1,2737556734,relu,relu,1.502655745,1.419813025,53.855735
0,214002550,relu,tanh,1.275528109,1.162605107,50.076299
1,214002550,relu,relu,1.292302537,1.12935437,47.370696
0,3268785435,relu,tanh,1.247496116,1.135577261,50.982027
1,3268785435,relu,relu,1.304249418,1.192239845,47.302691
0,1936533459,relu,tanh,1.286512709,1.168654251,46.97794
1,1936533459,relu,relu,1.385654104,1.192168772,46.743268
0,2714375448,relu,tanh,1.220242679,1.148433244,51.655304
1,2714375448,relu,relu,1.309335518,1.20098145,49.929618
0,1845484136,relu,tanh,1.29582144,1.17378161,47.637909
1,1845484136,relu,relu,1.334353399,1.173646414,46.797073
0,853402576,relu,tanh,1.252134895,1.166748679,48.137529
1,853402576,relu,relu,1.358117294,1.193697226,45.644071
0,3666867933,relu,tanh,1.267896962,1.134440839,47.207146
1,3666867933,relu,relu,1.304823446,1.180850661,49.818776
0,921998893,relu,tanh,1.300463629,1.164091313,49.897405
1,921998893,relu,relu,1.297887778,1.184506321,49.160761
0,2732232824,relu,tanh,1.217066896,1.131784248,49.20214
1,2732232824,relu,relu,1.322256041,1.181933892,44.393031
0,1121110582,relu,tanh,1.249532008,1.127553439,48.972123
1,1121110582,relu,relu,1.278187859,1.139085603,49.059014
0,2198549776,relu,tanh,1.310496557,1.25251193,49.533684
1,2198549776,relu,relu,1.375012922,1.197177696,46.685203
0,4103061965,relu,tanh,1.246693635,1.115748835,49.400771
1,4103061965,relu,relu,1.367789412,1.241301942,46.765512
0,3988911830,relu,tanh,1.240158737,1.145759571,45.96219
1,3988911830,relu,relu,1.308358872,1.213164151,46.472097
0,809887453,relu,tanh,1.254207993,1.128121758,46.263398
1,809887453,relu,relu,2.340103936,1.836802673,43.949029
0,3565429391,relu,tanh,1.289110661,1.168765128,48.386102
1,3565429391,relu,relu,1.308892941,1.185009015,46.09014
0,1244113143,relu,tanh,1.257906699,1.138319802,47.214893
1,1244113143,relu,relu,1.361075509,1.185953307,46.232698
0,3496542908,relu,tanh,1.299412322,1.146016383,46.429595
1,3496542908,relu,relu,1.353407085,1.227627361,47.575734
0,1782578303,relu,tanh,1.264441216,1.20089407,46.867588
1,1782578303,relu,relu,1.296909368,1.204639947,47.994443
0,1338512872,relu,tanh,1.24417963,1.140561223,45.903818
1,1338512872,relu,relu,1.365605199,1.222168958,46.496378
0,3840434441,relu,tanh,1.266741073,1.157688081,48.955803
1,3840434441,relu,relu,1.279088151,1.184918225,47.342623
0,2853762154,relu,tanh,1.329837143,1.213003385,48.159304
1,2853762154,relu,relu,1.262958872,1.153534186,46.803501
0,4185571263,relu,tanh,1.313130486,1.200174856,49.361896
1,4185571263,relu,relu,1.313798523,1.191261101,46.506005
0,3617896532,relu,tanh,1.316515875,1.164149201,46.080069
1,3617896532,relu,relu,1.389176619,1.220307279,45.547123
0,1666213397,relu,tanh,1.32430954,1.138982892,48.118063
1,1666213397,relu,relu,1.371821439,1.198769474,47.572188
0,1177131499,relu,tanh,1.35222007,1.244692254,47.800467
1,1177131499,relu,relu,1.289162195,1.183023787,47.644094
0,3574450858,relu,tanh,1.209036863,1.103723633,50.594986
1,3574450858,relu,relu,1.270311272,1.137365878,49.169595
0,908276902,relu,tanh,1.278234911,1.159969699,49.637962
1,908276902,relu,relu,1.323883164,1.198039746,50.155558
0,1431387248,relu,tanh,1.316970527,1.195858109,48.222903
1,1431387248,relu,relu,1.308169758,1.184406567,47.713489
0,3070921466,relu,tanh,1.334545445,1.223262858,48.979292
1,3070921466,relu,relu,1.320444679,1.184771895,51.180424
0,2127800302,relu,tanh,1.365600097,1.249727488,46.883361
1,2127800302,relu,relu,1.308515179,1.189042389,46.050638
