iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
162,3.29E-06,2.756394339,2.756394339,2.754677439,320.09479
163,3.43E-06,2.694250965,2.694250965,2.692999887,310.192198
164,3.57E-06,2.660632753,2.660632753,2.659767151,313.811254
165,3.71E-06,2.722570276,2.722570276,2.722302961,297.124343
166,3.86E-06,2.676790571,2.676790571,2.675550532,290.105513
167,4.00E-06,2.636179686,2.636179686,2.634263134,287.703329
168,4.14E-06,2.624847651,2.624847651,2.622961283,298.157635
169,4.29E-06,2.597520757,2.597520757,2.594880509,283.029533
170,4.29E-06,2.597520757,2.597520757,2.594880509,315.397187
171,4.43E-06,2.560761237,2.560761237,2.557098269,280.837754
172,4.57E-06,2.549196053,2.549196053,2.546864033,281.217248
173,4.71E-06,2.518142748,2.518142748,2.515318608,291.21306
174,4.86E-06,2.499316955,2.499316955,2.495652008,283.754971
175,5.00E-06,2.48046298,2.48046298,2.477625465,267.947309
176,5.14E-06,2.456468797,2.456468797,2.452364445,265.746325
177,5.29E-06,2.461770988,2.461770988,2.458705258,269.13771
178,5.43E-06,2.444201922,2.444201922,2.440703082,264.916944
179,5.57E-06,2.42513957,2.42513957,2.421199226,261.643268
180,5.71E-06,2.415932512,2.415932512,2.415731859,261.871587
181,5.71E-06,2.415932512,2.415932512,2.415731859,260.864683
182,5.86E-06,2.430674124,2.430674124,2.430296159,258.422173
183,6.00E-06,2.411011553,2.411011553,2.409310365,257.935424
184,6.14E-06,2.394316816,2.394316816,2.391973877,251.281819
185,6.29E-06,2.418088722,2.418088722,2.417073917,245.82568
186,6.43E-06,2.419365335,2.419365335,2.417292094,246.823442
187,6.57E-06,2.411989999,2.411989999,2.408835506,243.942478
188,6.71E-06,2.370849991,2.370849991,2.366727209,245.715582
189,6.86E-06,2.423032975,2.423032975,2.418602705,247.979872
190,7.00E-06,2.428983498,2.428983498,2.423681116,230.984866
191,7.14E-06,2.439545655,2.439545655,2.434366465,225.922629
192,7.14E-06,2.439545655,2.439545655,2.434366465,226.316809
193,7.29E-06,2.399744034,2.399744034,2.393902731,226.232184
194,7.43E-06,2.383236456,2.383236456,2.376648021,227.67134
195,7.57E-06,2.368211293,2.368211293,2.360645819,236.779402
196,7.71E-06,2.394261026,2.394261026,2.387197566,215.923521
197,7.86E-06,2.35152607,2.35152607,2.349555516,222.051181
198,8.00E-06,2.36508193,2.36508193,2.361653399,210.689729
199,8.14E-06,2.38476212,2.38476212,2.382742929,208.424218
200,8.29E-06,2.359117174,2.359117174,2.35645752,220.739081
201,8.43E-06,2.38743546,2.38743546,2.383585644,214.598377
202,8.57E-06,2.371664262,2.371664262,2.366982675,215.612723
203,8.57E-06,2.371664262,2.371664262,2.366982675,232.00045
204,8.71E-06,2.49871397,2.49871397,2.494409513,204.506819
205,8.86E-06,2.480296469,2.480296469,2.475355697,207.116572
