iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
132,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2702181816101075,1.1880113005638122,46.089054
133,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2158434748649598,1.0800657153129578,49.97379099999999
134,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.238803219795227,1.1268486857414246,53.089781
135,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2545894384384155,1.1155829071998595,50.003783999999996
136,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2663849592208862,1.1502849102020263,46.110045
137,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2381649255752563,1.1239341378211976,51.125406
138,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,10.830118322372437,10.819908404350281,40.318922
139,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2175718426704407,1.121436882019043,49.208039
140,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.1399783611297607,1.034027099609375,53.025804
141,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2042164564132691,1.0870526552200317,61.141168
142,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2725786089897155,1.1276647806167603,48.882147
143,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.128975009918213,1.0049919724464416,55.052173
144,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.3106699585914612,1.1834065318107605,44.415592000000004
145,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2167409658432007,1.1189009308815003,48.435291
146,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2718146443367004,1.1576006889343262,47.796497
147,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2064499378204345,1.0966302275657653,50.00879499999999
148,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.2010597348213197,1.1163470029830933,53.196743
149,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.23506098985672,1.1432366728782655,56.718615
150,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.200018620491028,1.0892717957496643,45.174349
151,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.254993236064911,1.143349575996399,45.219335
152,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.258358120918274,1.1300625801086426,40.974711
