iteration,seed,last_activation,last_perf,min_perf,time
0,1939290129,linear,1.368910944,1.217505169,43.870782
1,1939290129,relu,1.307399535,1.201937592,44.59156
2,1939290129,leaky_relu,1.288512969,1.171899247,48.419308
0,425745187,linear,1.220711565,1.145850956,49.361013
1,425745187,relu,1.262140942,1.169818306,45.406282
2,425745187,leaky_relu,1.207857597,1.136549377,49.71691
0,1753745139,linear,1.245970297,1.149220693,49.814867
1,1753745139,relu,1.292940199,1.193236244,44.724525
2,1753745139,leaky_relu,1.310144722,1.206449449,48.552276
0,1347945853,linear,1.212553167,1.107226992,52.141114
1,1347945853,relu,1.175504684,1.048873949,50.595615
2,1347945853,leaky_relu,1.207746685,1.101933026,48.516304
0,1059240266,linear,1.309228408,1.131875455,49.896804
1,1059240266,relu,1.316460264,1.190737379,43.13703
2,1059240266,leaky_relu,1.220304239,1.105563879,50.837536
0,4069279490,linear,1.349713862,1.172742414,45.455284
1,4069279490,relu,1.337285602,1.215677357,42.893109
2,4069279490,leaky_relu,1.37714721,1.244436407,43.147014
0,3472688014,linear,1.221553302,1.128063405,45.489256
1,3472688014,relu,1.223920035,1.125760913,45.239347
2,3472688014,leaky_relu,1.223046291,1.131803155,46.180043
0,3521552534,linear,1.277777839,1.174642074,39.397242
1,3521552534,relu,1.253444159,1.149510348,41.320604
2,3521552534,leaky_relu,1.270469666,1.145920813,41.225666
0,2052332232,linear,1.275346553,1.178649569,47.813503
1,2052332232,relu,1.313161433,1.165238225,43.042059
2,2052332232,leaky_relu,1.286530018,1.169792295,41.942395
0,1211897985,linear,1.258644426,1.198224354,43.832806
1,1211897985,relu,1.227478373,1.115218496,46.326965
2,1211897985,leaky_relu,1.268830419,1.199225008,44.658523
0,3537432040,linear,1.286175621,1.149212563,47.82351
1,3537432040,relu,1.244159269,1.084359801,48.29336
2,3537432040,leaky_relu,1.322990954,1.160256219,44.779484
0,465211709,linear,1.321166801,1.196935749,44.849475
1,465211709,relu,1.270483041,1.187539792,46.413969
2,465211709,leaky_relu,1.258552325,1.142754948,44.784485
0,3181404781,linear,1.275647795,1.1391155,43.675831
1,3181404781,relu,1.229918838,1.142918301,50.425673
2,3181404781,leaky_relu,1.255855417,1.164451814,48.271366
0,3716060369,linear,1.284061158,1.187982142,46.761845
1,3716060369,relu,1.319338286,1.16152761,44.653538
