iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
1,16,lstm,50,1.243722773,1.145633507,38.923383
2,16,lstm,65,1.260222578,1.101275396,43.432932
3,16,lstm,80,1.196211183,1.046736324,36.116302
4,16,lstm,95,1.251174319,1.130519855,35.96535
5,16,lstm,110,1.230941331,1.108130825,38.508528
6,16,lstm,125,1.198433352,1.084773219,37.26693
7,16,lstm,140,1.212969291,1.063130283,37.197951
8,16,lstm,155,1.278667152,1.18179388,45.600231
9,16,lstm,170,1.235345173,1.036126816,37.022008
10,16,lstm,185,1.164662945,1.063794005,41.551542
11,16,lstm,200,1.297164738,1.181811798,34.941682
12,16,lstm,215,1.27970258,1.191902161,45.151375
13,16,lstm,230,1.190815985,1.077636683,53.7226
14,16,lstm,245,1.322389781,1.218486309,46.245023
15,16,lstm,260,1.173639512,1.042037988,44.67552
16,16,lstm,275,1.201611352,1.070177972,44.714519
17,16,lstm,290,1.397061491,1.252654934,34.724753
18,16,lstm,305,1.224752712,1.090599024,44.30865
19,16,lstm,320,1.191787374,1.018518043,43.93377
20,16,lstm,335,1.198938811,1.099753332,40.652833
21,16,lstm,350,1.193487716,1.096362209,46.710871
22,16,lstm,365,1.238978887,1.119530249,45.999103
23,16,lstm,380,1.205448306,1.081127036,44.791502
24,16,lstm,395,1.187923944,1.056163406,40.84477
25,16,lstm,410,1.230562901,1.145495737,42.329291
26,16,lstm,425,1.249970007,1.157756031,46.291006
27,16,lstm,440,1.242303467,1.151471901,44.86346
28,16,lstm,455,1.302752709,1.125443745,47.58259
