iteration,dense_layers_1,dense_layers_2,dense_layers_3,dense_layers_4,dense_layers_5,dense_layers_6,dense_layers_7,dense_layers_8,dense_layers_9,dense_layers_10,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out
int,int,int,int,int,int,int,int,int,int,int,int,str,str,str,float,str,int,str,float,str,float,float,float
119,75,249,276,0,0,0,0,0,0,0,3,0.0005,adadelta,leaky_relu,0.2,simplernn,194,tanh,0.25,linear,1.627369404,1.266755033,39.70904
120,147,283,201,34,0,0,0,0,0,0,4,0.005,adadelta,relu,0.2,simplernn,550,relu,0.15,linear,1.699717855,1.187146938,32.627719
121,263,27,177,427,442,200,377,0,0,0,7,5.00E-05,adadelta,relu,0.15,none,590,relu,0.2,relu,1.894183707,1.183065021,18.740656
122,206,63,260,345,239,384,335,86,17,0,9,0.001,rmsprop,relu,0.1,lstm,103,relu,0.25,linear,1.373541451,1.22627157,53.70466
123,203,443,329,468,135,345,410,242,328,323,10,0.005,adam,relu,0.2,lstm,147,tanh,0.15,linear,1.397665823,1.269397366,62.069514
124,169,378,369,480,341,460,366,0,0,0,7,0.005,rmsprop,relu,0.1,lstm,497,tanh,0.1,linear,2.004237676,1.749106669,57.669215
125,350,372,39,185,463,416,0,0,0,0,6,0.001,adadelta,leaky_relu,0.1,simplernn,159,tanh,0.25,linear,1.796886206,1.070852232,35.287163
126,380,109,60,483,81,0,0,0,0,0,5,5.00E-05,adam,leaky_relu,0.25,simplernn,101,relu,0,relu,2.002573943,1.929554796,43.519232
127,421,134,378,300,132,360,288,407,0,0,8,0.001,adadelta,relu,0.1,lstm,692,relu,0.1,relu,1.3046188,1.087176776,70.555957
128,55,144,0,0,0,0,0,0,0,0,2,5.00E-05,rmsprop,relu,0.1,none,356,tanh,0,relu,1.365420628,1.36064229,22.089265
129,398,46,304,370,0,0,0,0,0,0,4,5.00E-05,rmsprop,relu,0.2,none,133,tanh,0.15,linear,1.335799003,1.295768523,15.945062
130,411,332,135,463,0,0,0,0,0,0,4,0.005,rmsprop,leaky_relu,0.15,none,480,relu,0,linear,1.900193381,1.261448431,10.328042
131,102,249,451,242,136,0,0,0,0,0,5,0.001,rmsprop,relu,0.1,lstm,447,relu,0.1,relu,1.322319627,1.222149169,50.181981
132,184,390,370,468,0,0,0,0,0,0,4,0.001,rmsprop,leaky_relu,0.25,lstm,464,relu,0.25,linear,1.402052963,1.268457377,50.325665
133,122,202,327,370,50,216,30,346,0,0,8,5.00E-05,rmsprop,leaky_relu,0.1,simplernn,464,relu,0.25,relu,4.243733072,3.970917463,37.500715
134,205,8,53,3,55,169,372,107,0,0,8,0.005,rmsprop,relu,0.15,none,857,relu,0.1,relu,1.457600784,1.303174174,17.778174
135,361,426,293,14,288,194,9,492,0,0,8,0.0005,rmsprop,leaky_relu,0.25,none,192,relu,0.25,linear,1.659022856,1.31563822,17.030683
136,161,243,322,437,391,378,240,451,382,0,9,0.0005,adam,relu,0.15,none,637,tanh,0,linear,1.552360821,1.180261803,23.256636
137,420,462,94,102,418,200,488,359,309,0,9,0.001,rmsprop,leaky_relu,0.1,none,135,tanh,0.1,relu,1.596326113,1.296970606,18.598517
138,245,368,381,176,379,469,2,102,316,0,9,0.0001,adadelta,relu,0,simplernn,661,relu,0.2,linear,1.844460487,1.47323693,33.796094
139,345,249,79,205,346,0,0,0,0,0,5,0.0001,adadelta,leaky_relu,0.15,lstm,435,tanh,0.1,relu,1.360592258,1.073098803,69.508654
140,13,320,174,80,94,421,457,0,0,0,7,0.005,adam,relu,0.1,simplernn,184,tanh,0.25,linear,1.590003705,1.236043751,32.711501
141,459,459,55,0,0,0,0,0,0,0,3,0.0001,rmsprop,leaky_relu,0,none,779,relu,0.15,linear,1.338171852,1.284934437,9.179584
142,281,475,106,194,449,0,0,0,0,0,5,0.005,adam,leaky_relu,0,lstm,609,tanh,0.25,relu,1.183057892,1.100698018,48.534453
143,40,364,0,0,0,0,0,0,0,0,2,0.005,adam,leaky_relu,0.2,none,514,relu,0.1,linear,1.95391717,1.253207219,8.636019
144,67,42,321,260,491,18,374,451,284,0,9,0.0001,adadelta,leaky_relu,0.1,none,620,tanh,0.15,relu,1.877129197,1.132885194,23.912363
145,1,0,0,0,0,0,0,0,0,0,1,0.001,adam,leaky_relu,0.1,simplernn,894,tanh,0.15,relu,2.100573826,2.068722796,28.494203
146,407,254,75,324,129,165,98,326,60,0,9,0.001,rmsprop,leaky_relu,0.2,none,340,relu,0.2,relu,1.606877375,1.20377444,18.696779
147,24,382,138,371,41,0,0,0,0,0,5,0.0001,adadelta,relu,0.25,none,205,relu,0,relu,1.504004478,1.206365371,14.535305
148,82,169,89,456,208,120,299,281,420,102,10,0.005,adam,leaky_relu,0.15,none,120,relu,0.1,relu,1.685394859,1.216635299,25.049186
